"id","common_name","latin_name","family","in_hells_canyon_book","is_invasive","native_nonnative","color","note","desc","photographer"
526,"Wild Onion / Nodding Onion","Allium sp.","Amaryllidaceae","TRUE","TRUE",,"PINK / WHITE",,,
146,"Wild Onion / Nodding Onion","Allium sp.","Amaryllidaceae","TRUE","TRUE",,"PINK / WHITE",,"We have several species of onions in the canyon. These are two of the most common. Smells and tastes “oniony.” Edible.",
510,"Poison Ivy","Toxicodendron radicans","Anacardiaceae","TRUE","FALSE",,"WHITE / GREEN",,"A smooth-stemmed, 1-4’ tall shrub. Leaves absent in winter. Whitish-green flowers; greenish-yellow berries. Very common, especially along waterways. Can cause mild to very severe itching and/or blistering. If you only learn one Hells Canyon plant, learn this one well and avoid it! ",
407,"Cous Biscuitroot","Lomatium cous","Apiaceae","TRUE","FALSE",,"YELLOW",,"This very small plant blooms in early spring and grows 3-5” tall. Its roots were dug by the Nez Perce, dried and pounded to a flour, and used to make a food that early white settlers thought looked like biscuits.",
404,"Gray’s Biscuitroot","Lomatium grayii","Apiaceae","TRUE","FALSE",,"YELLOW",,"This large biscuitroot has finely-dissected, gray-green leaves.",
183,"Yampah","Perideridia sp.","Apiaceae","TRUE","FALSE",,"WHITE",,"Blooms in early summer in dry, open areas. Roots used by Nez Perce for food. ",
4,"Showy Milkweed","Asclepias speciosa","Apocynaceae","TRUE","FALSE",,"WHITE",,"This host plant for monarch caterpillars blooms in summer. Milky sap. ",
8,"Showy Milkweed","Asclepias speciosa","Apocynaceae","TRUE","FALSE",,"WHITE","seed pod",,
157,"Cusick’s Camas","Camassia cusickii","Asparagaceae","TRUE","FALSE",,"PURPLE",,"This 15-24” tall camas especially likes the rocky hillsides along the Hells Canyon scenic byway drive. ",
158,"Common Camas","Camassia quamash","Asparagaceae","TRUE","FALSE",,"PURPLE",,"This much-smaller cousin of Cusick’s camas grows only 10-12” tall in wet meadows. It was one of the primary roots gathered for food by the Nez Perce.",
165,"Blue Dicks / Brodiaea","Tritelia grandiflora","Asparagaceae","TRUE","FALSE",,"PURPLE","Or is it hyacinthina?","Distinctive ball-shaped flower cluster at the top of a single, leafless stem. 12-20” tall. ",
37,"Yarrow","Achillea millefolium","Asteraceae","TRUE","FALSE",,"WHITE",,"Blooms in summer. Used medicinally by the Nez Perce and by settlers.",
48,"Hoary’s Balsamroot","Balsamorhiza incana","Asteraceae","TRUE","FALSE",,"YELLOW","see also Arrowleaf Balsamroot","Spring-summer bloom. Note the very jagged leaves. Hybridizes with d. sagittata. Seeds used as food by Nez Perce. ",
49,"Arrowleaf Balsamroot","Balsamorhiza sagittata","Asteraceae","TRUE","FALSE",,"YELLOW","see also Hoary Balsamroot; check with Rob about hybridization","Spring-summer bloom. Hybridizes with d. hookeri. [?] Leaves have smooth margins. Seeds used as food by Nez Perce. ",
71,"Spotted Knapweed","Centaurea maculosa","Asteraceae","TRUE","TRUE",,"PINK / WHITE","Should this be Diffuse instead of Spotted? or...?","Common invasive biennial weed. There are many similarly-looking species. ",
69,"Chaenactis / False Yarrow","Chaenactis douglasii","Asteraceae","TRUE","FALSE",,"PINK",,"Distinctive gray-green foliage.",
65,"Bull Thistle","Cirsiam vulgare","Asteraceae","TRUE","TRUE",,"PURPLE",,"Fairly common invasive biennial thistle. Can grow up to 4’ tall. ",
70,"Common Rabbitbrush","Ericameria nauseosa","Asteraceae","TRUE","FALSE",,"YELLOW",,"Blooms late-summer to fall. Previously known as Chrysothamnos nauseosa. A common shrub, 2-4’ tall.",
62,"Fleabane Daisy","Erigeron sp.","Asteraceae","TRUE","FALSE",,"PURPLE / YELLOW",,"A huge and variable genus; this is one of many species found in Hells Canyon.",
63,"Oregon Sunshine / Woolly Yellow Daisy","Eriophyllum lanatum","Asteraceae","TRUE","FALSE",,"YELLOW",,"Spring-summer bloom. Ray-flowers are orangish towards central disc, paler yellow on ends. ",
80,"Gaillardia / Blanket Flower","Gaillardia artistata","Asteraceae","TRUE","FALSE",,"YELLOW",,"Yellow ray flowers may be reddish towards central disc. ",
81,"Gumweed","Grindelia sp.","Asteraceae","TRUE","FALSE",,"YELLOW",,"Base of flower very sticky with sap. ",
83,"Golden Weed","Haplopappus carthamoides","Asteraceae","TRUE","FALSE",,"YELLOW","Check with Rob... no more haploppus genus? ","Pale yellow bloom.",
515,"Little Sunflower","Helianthella uniflora","Asteraceae","TRUE","FALSE",,"YELLOW",,"Another of many sunflower look-alikes.",
76,"Western Sunflower","Helianthus annuus","Asteraceae","TRUE","FALSE",,"YELLOW",,"Flower heads face the sun throughout the day. Grows up to 5’ tall. ",
532,"Blazing Star / Gayfeather","Liatris punctata","Asteraceae","TRUE","FALSE",,"YELLOW",,"Late-summer bloom",
533,"Dog Fennel / Pineapple Weed","Matricaria ??","Asteraceae","TRUE",,,"WHITE","Not sure if invasive or native. Also not sure of the latin name: is this Matricaria matricarioides? ","Usuaully low-growing in disturbed areas. Plant smells like pineapple when crushed.",
